,Compound,Negative,Neutral,Positive,Tweets_Ago,User_List
0,-0.6705,0.333,0.667,0.0,1,@cnn
1,0.0772,0.0,0.939,0.061,2,@cnn
2,-0.6597,0.241,0.759,0.0,3,@cnn
3,-0.6124,0.222,0.778,0.0,4,@cnn
4,0.0,0.0,1.0,0.0,5,@cnn
5,0.0,0.0,1.0,0.0,6,@cnn
6,0.0,0.0,1.0,0.0,7,@cnn
7,-0.4588,0.2,0.8,0.0,8,@cnn
8,-0.4588,0.176,0.824,0.0,9,@cnn
9,0.0,0.0,1.0,0.0,10,@cnn
10,0.0,0.0,1.0,0.0,11,@cnn
11,0.2732,0.0,0.884,0.116,12,@cnn
12,0.4215,0.0,0.817,0.183,13,@cnn
13,-0.5574,0.269,0.621,0.11,14,@cnn
14,-0.1779,0.135,0.757,0.108,15,@cnn
15,0.0,0.0,1.0,0.0,16,@cnn
16,-0.7845,0.385,0.615,0.0,17,@cnn
17,0.0,0.0,1.0,0.0,18,@cnn
18,0.1027,0.123,0.738,0.139,19,@cnn
19,-0.6486,0.264,0.661,0.075,20,@cnn
20,-0.6705,0.333,0.667,0.0,21,@cnn
21,0.0772,0.0,0.939,0.061,22,@cnn
22,-0.6597,0.241,0.759,0.0,23,@cnn
23,-0.6124,0.222,0.778,0.0,24,@cnn
24,0.0,0.0,1.0,0.0,25,@cnn
25,0.0,0.0,1.0,0.0,26,@cnn
26,0.0,0.0,1.0,0.0,27,@cnn
27,-0.4588,0.2,0.8,0.0,28,@cnn
28,-0.4588,0.176,0.824,0.0,29,@cnn
29,0.0,0.0,1.0,0.0,30,@cnn
30,0.0,0.0,1.0,0.0,31,@cnn
31,0.2732,0.0,0.884,0.116,32,@cnn
32,0.4215,0.0,0.817,0.183,33,@cnn
33,-0.5574,0.269,0.621,0.11,34,@cnn
34,-0.1779,0.135,0.757,0.108,35,@cnn
35,0.0,0.0,1.0,0.0,36,@cnn
36,-0.7845,0.385,0.615,0.0,37,@cnn
37,0.0,0.0,1.0,0.0,38,@cnn
38,0.1027,0.123,0.738,0.139,39,@cnn
39,-0.6486,0.264,0.661,0.075,40,@cnn
40,-0.8402,0.308,0.692,0.0,41,@cnn
41,0.0,0.0,1.0,0.0,42,@cnn
42,0.0,0.0,1.0,0.0,43,@cnn
43,-0.5574,0.265,0.735,0.0,44,@cnn
44,0.5719,0.0,0.829,0.171,45,@cnn
45,-0.2023,0.091,0.909,0.0,46,@cnn
46,-0.6124,0.143,0.857,0.0,47,@cnn
47,0.5574,0.0,0.769,0.231,48,@cnn
48,-0.7845,0.277,0.723,0.0,49,@cnn
49,0.0,0.0,1.0,0.0,50,@cnn
50,0.0,0.0,1.0,0.0,51,@cnn
51,-0.2263,0.119,0.881,0.0,52,@cnn
52,0.0,0.0,1.0,0.0,53,@cnn
53,0.0,0.0,1.0,0.0,54,@cnn
54,0.0,0.0,1.0,0.0,55,@cnn
55,0.0,0.0,1.0,0.0,56,@cnn
56,0.9169,0.0,0.569,0.431,57,@cnn
57,-0.8402,0.308,0.692,0.0,58,@cnn
58,0.1531,0.14,0.659,0.202,59,@cnn
59,0.2732,0.099,0.751,0.15,60,@cnn
60,0.0,0.0,1.0,0.0,61,@cnn
61,0.0,0.0,1.0,0.0,62,@cnn
62,0.5423,0.0,0.8,0.2,63,@cnn
63,0.0,0.0,1.0,0.0,64,@cnn
64,0.0,0.0,1.0,0.0,65,@cnn
65,0.296,0.0,0.891,0.109,66,@cnn
66,-0.4767,0.205,0.795,0.0,67,@cnn
67,-0.4215,0.141,0.859,0.0,68,@cnn
68,0.8718,0.068,0.588,0.343,69,@cnn
69,-0.9186,0.5,0.5,0.0,70,@cnn
70,0.0,0.0,1.0,0.0,71,@cnn
71,0.0,0.0,1.0,0.0,72,@cnn
72,0.6249,0.0,0.797,0.203,73,@cnn
73,0.4404,0.0,0.888,0.112,74,@cnn
74,0.5574,0.0,0.714,0.286,75,@cnn
75,0.3612,0.0,0.889,0.111,76,@cnn
76,0.0,0.0,1.0,0.0,77,@cnn
77,0.0,0.0,1.0,0.0,78,@cnn
78,-0.5719,0.171,0.829,0.0,79,@cnn
79,0.0,0.0,1.0,0.0,80,@cnn
80,0.4939,0.0,0.833,0.167,81,@cnn
81,0.0,0.0,1.0,0.0,82,@cnn
82,0.0,0.0,1.0,0.0,83,@cnn
83,-0.296,0.109,0.891,0.0,84,@cnn
84,-0.4019,0.137,0.863,0.0,85,@cnn
85,0.1779,0.0,0.914,0.086,86,@cnn
86,0.5859,0.0,0.826,0.174,87,@cnn
87,-0.8229,0.35,0.65,0.0,88,@cnn
88,0.128,0.0,0.933,0.067,89,@cnn
89,-0.1027,0.122,0.778,0.1,90,@cnn
90,0.4939,0.0,0.824,0.176,91,@cnn
91,0.4215,0.0,0.887,0.113,92,@cnn
92,0.0,0.0,1.0,0.0,93,@cnn
93,0.34,0.0,0.882,0.118,94,@cnn
94,0.0,0.0,1.0,0.0,95,@cnn
95,0.0,0.0,1.0,0.0,96,@cnn
96,0.0,0.0,1.0,0.0,97,@cnn
97,0.0094,0.106,0.786,0.108,98,@cnn
98,0.0,0.0,1.0,0.0,99,@cnn
99,0.0,0.0,1.0,0.0,100,@cnn
100,-0.7845,0.535,0.465,0.0,1,@bbc
101,-0.7506,0.348,0.652,0.0,2,@bbc
102,-0.4404,0.182,0.818,0.0,3,@bbc
103,0.4404,0.0,0.854,0.146,4,@bbc
104,0.0,0.0,1.0,0.0,5,@bbc
105,0.0,0.0,1.0,0.0,6,@bbc
106,0.0,0.0,1.0,0.0,7,@bbc
107,0.3612,0.0,0.884,0.116,8,@bbc
108,-0.128,0.173,0.681,0.147,9,@bbc
109,0.481,0.0,0.852,0.148,10,@bbc
110,0.4391,0.0,0.804,0.196,11,@bbc
111,0.6486,0.0,0.782,0.218,12,@bbc
112,0.0,0.0,1.0,0.0,13,@bbc
113,0.3612,0.0,0.898,0.102,14,@bbc
114,0.2263,0.097,0.772,0.131,15,@bbc
115,0.3818,0.0,0.822,0.178,16,@bbc
116,0.0,0.0,1.0,0.0,17,@bbc
117,0.0,0.0,1.0,0.0,18,@bbc
118,0.4019,0.0,0.899,0.101,19,@bbc
119,-0.1531,0.091,0.909,0.0,20,@bbc
120,-0.7845,0.535,0.465,0.0,21,@bbc
121,-0.7506,0.348,0.652,0.0,22,@bbc
122,-0.4404,0.182,0.818,0.0,23,@bbc
123,0.4404,0.0,0.854,0.146,24,@bbc
124,0.0,0.0,1.0,0.0,25,@bbc
125,0.0,0.0,1.0,0.0,26,@bbc
126,0.0,0.0,1.0,0.0,27,@bbc
127,0.3612,0.0,0.884,0.116,28,@bbc
128,-0.128,0.173,0.681,0.147,29,@bbc
129,0.481,0.0,0.852,0.148,30,@bbc
130,0.4391,0.0,0.804,0.196,31,@bbc
131,0.6486,0.0,0.782,0.218,32,@bbc
132,0.0,0.0,1.0,0.0,33,@bbc
133,0.3612,0.0,0.898,0.102,34,@bbc
134,0.2263,0.097,0.772,0.131,35,@bbc
135,0.3818,0.0,0.822,0.178,36,@bbc
136,0.0,0.0,1.0,0.0,37,@bbc
137,0.0,0.0,1.0,0.0,38,@bbc
138,0.4019,0.0,0.899,0.101,39,@bbc
139,-0.1531,0.091,0.909,0.0,40,@bbc
140,-0.7184,0.538,0.462,0.0,41,@bbc
141,0.4215,0.108,0.682,0.21,42,@bbc
142,0.5719,0.0,0.684,0.316,43,@bbc
143,0.9042,0.0,0.534,0.466,44,@bbc
144,0.3182,0.12,0.674,0.206,45,@bbc
145,0.0,0.0,1.0,0.0,46,@bbc
146,-0.4215,0.203,0.797,0.0,47,@bbc
147,0.0,0.0,1.0,0.0,48,@bbc
148,0.4939,0.0,0.824,0.176,49,@bbc
149,-0.079,0.125,0.763,0.112,50,@bbc
150,0.0,0.0,1.0,0.0,51,@bbc
151,0.0,0.0,1.0,0.0,52,@bbc
152,0.0,0.0,1.0,0.0,53,@bbc
153,-0.296,0.121,0.879,0.0,54,@bbc
154,0.4404,0.0,0.818,0.182,55,@bbc
155,0.4199,0.0,0.872,0.128,56,@bbc
156,-0.1531,0.135,0.754,0.111,57,@bbc
157,0.3182,0.0,0.887,0.113,58,@bbc
158,0.5859,0.0,0.743,0.257,59,@bbc
159,0.4404,0.0,0.879,0.121,60,@bbc
160,0.4215,0.0,0.865,0.135,61,@bbc
161,-0.765,0.337,0.663,0.0,62,@bbc
162,0.2382,0.0,0.891,0.109,63,@bbc
163,0.2023,0.0,0.924,0.076,64,@bbc
164,0.0,0.0,1.0,0.0,65,@bbc
165,0.0,0.0,1.0,0.0,66,@bbc
166,0.0,0.0,1.0,0.0,67,@bbc
167,-0.6124,0.294,0.706,0.0,68,@bbc
168,0.0,0.0,1.0,0.0,69,@bbc
169,0.8066,0.0,0.7,0.3,70,@bbc
170,0.6369,0.0,0.833,0.167,71,@bbc
171,-0.5574,0.265,0.735,0.0,72,@bbc
172,-0.765,0.306,0.694,0.0,73,@bbc
173,0.8126,0.0,0.67,0.33,74,@bbc
174,0.0,0.0,1.0,0.0,75,@bbc
175,0.2023,0.0,0.917,0.083,76,@bbc
176,-0.5423,0.226,0.774,0.0,77,@bbc
177,0.0,0.0,1.0,0.0,78,@bbc
178,0.5106,0.0,0.837,0.163,79,@bbc
179,0.8126,0.0,0.72,0.28,80,@bbc
180,0.0,0.0,1.0,0.0,81,@bbc
181,-0.4588,0.231,0.769,0.0,82,@bbc
182,-0.4588,0.2,0.8,0.0,83,@bbc
183,0.8481,0.0,0.647,0.353,84,@bbc
184,0.0,0.0,1.0,0.0,85,@bbc
185,0.3182,0.0,0.887,0.113,86,@bbc
186,0.4939,0.0,0.862,0.138,87,@bbc
187,0.0,0.0,1.0,0.0,88,@bbc
188,-0.3612,0.217,0.783,0.0,89,@bbc
189,-0.6597,0.239,0.761,0.0,90,@bbc
190,0.3612,0.0,0.857,0.143,91,@bbc
191,0.0,0.0,1.0,0.0,92,@bbc
192,0.4201,0.0,0.872,0.128,93,@bbc
193,0.0,0.0,1.0,0.0,94,@bbc
194,0.3182,0.0,0.796,0.204,95,@bbc
195,0.0,0.0,1.0,0.0,96,@bbc
196,0.0,0.0,1.0,0.0,97,@bbc
197,0.0,0.0,1.0,0.0,98,@bbc
198,0.0,0.0,1.0,0.0,99,@bbc
199,0.0,0.0,1.0,0.0,100,@bbc
200,0.8016,0.0,0.703,0.297,1,@cbs
201,0.7717,0.0,0.676,0.324,2,@cbs
202,0.0,0.0,1.0,0.0,3,@cbs
203,0.555,0.0,0.796,0.204,4,@cbs
204,0.0,0.0,1.0,0.0,5,@cbs
205,0.1867,0.0,0.916,0.084,6,@cbs
206,0.8553,0.0,0.656,0.344,7,@cbs
207,0.0,0.0,1.0,0.0,8,@cbs
208,0.1867,0.0,0.924,0.076,9,@cbs
209,0.836,0.0,0.683,0.317,10,@cbs
210,0.0,0.0,1.0,0.0,11,@cbs
211,0.0,0.0,1.0,0.0,12,@cbs
212,0.0,0.0,1.0,0.0,13,@cbs
